Title,Sol#,Department/Ind.Agency,Sub-Tier,Office,PostedDate,Type,ArchiveDate,SetASideCode,ResponseDeadLine,NaicsCode,PopState,PopZip,PopCountry
Drone Thermal Cameras,H9227725QT001,DEPT OF DEFENSE,US SPECIAL OPERATIONS COMMAND (USSOCOM),SOCCENT,56:40.2,Combined Synopsis/Solicitation,12/31/2024,,2024-12-16T14:00:00-05:00,336413,,9855,KWT
Naval Station Guantanamo Bay Cuba Liquefied Natural Gas,N6945025RPW08,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHEAST,52:43.2,Combined Synopsis/Solicitation,1/28/2025,,2025-01-13T14:00:00-05:00,221210,,,CUB
"Stanchion, Eye",N0040625Q0178,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR PUGET SOUND,06:56.5,Solicitation,01-08-25,SBA,2024-12-24T12:00:00-08:00,332510,,,JPN
"Stanchion, Eye",N0040625Q0178,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR PUGET SOUND,05:05.8,Solicitation,01-08-25,SBA,2024-12-24T12:00:00-08:00,332510,,,JPN
USAFE FIGHTER/LIGHT AIRCRAFT RECOVERY TRANSPORT,FA441925Q0014,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA4419   97 CONF  CC,52:04.7,Combined Synopsis/Solicitation,01-01-26,SBA,2025-12-17T11:00:00-06:00,336413,,9014,DEU
"REPAIR OF HOUSING ASSY, PUMP",N0038323PR0R575,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT,42:15.6,Combined Synopsis/Solicitation,12/27/2024,,2024-12-27T00:00:00-05:00,336413,,,ARE
Waste Management services,19FR6325Q0008,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PARIS,44:19.3,Presolicitation,02-08-25,,2025-01-24T16:00:00+01:00,562219,,,FRA
INFOSEC INSTITUTE Boot Camp Courses,W91RUS25R0003,DEPT OF DEFENSE,DEPT OF THE ARMY,W6QK ACC-APG CONT CT SW SECTOR,24:22.3,Combined Synopsis/Solicitation,1/15/2025,,2025-01-14T08:00:00-07:00,611420,,,KWT
DAGR Accessories for United Arab Emirates (Rev),W91CRB25Q5002-R,DEPT OF DEFENSE,DEPT OF THE ARMY,W6QK ACC-APG,55:22.0,Combined Synopsis/Solicitation,1/23/2025,SBA,2025-01-08T13:00:00-05:00,334220,,,ARE
Heavy Duty Truck Lease,SP3300-25-Q-0002,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISTRIBUTION,55:04.1,Combined Synopsis/Solicitation,1/31/2025,,2024-12-19T12:00:00-05:00,532120,,857-0063,JPN
"Maintenance and Repair Services for Chlorination and Fluoridation Systems located in United States Army Garrison (USAG) Bavaria: Tower Barracks (TB) Grafenwoehr, Rose Barracks (RB) Vilseck and Hohenfels",W912PB25R3001,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,23:55.3,Solicitation,02-01-25,,2025-01-17T10:00:00+01:00,811210,DE-BY,,DEU
Drone Thermal Cameras,H9227725QT001,DEPT OF DEFENSE,US SPECIAL OPERATIONS COMMAND (USSOCOM),SOCCENT,20:12.0,Combined Synopsis/Solicitation,12/31/2024,,2024-12-16T14:00:00-05:00,336413,,9855,KWT
"Maintenance and Repair Services for Chlorination and Fluoridation Systems located in United States Army Garrison (USAG) Bavaria: Tower Barracks (TB) Grafenwoehr, Rose Barracks (RB) Vilseck and Hohenfels",W912PB25R3001,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,15:56.3,Solicitation,02-01-25,,2025-01-17T10:00:00+01:00,811210,DE-BY,,DEU
Biomedical Technician,FA560625Q2002,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5606  52 CONS DA LGC,39:35.1,Combined Synopsis/Solicitation,01-01-25,,2024-12-17T10:00:00+01:00,561210,,54529,DEU
J&A for end of life Artichill Chiller parts for U.S. Embassy Tallinn,PR12660758,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY TALLINN,58:32.3,Justification,01-12-25,,,423730,EE-37,15099,EST
"Landline Telecommunication Services for BEC & BDSC, Baghdad",19GE5025R0016,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - RPSO FRANKFURT,32:58.6,Presolicitation,1/15/2026,,2025-12-31T17:00:00-05:00,517111,,,IRQ
Site Visit Notes for Shatter Resistant Window Film Installation Services,19TU1525Q3001-SVN,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ANKARA,11:26.3,Solicitation,1/31/2025,,2024-12-20T16:00:00+03:00,523,TR-06,20521,TUR
Quality Management System (QMS) Software Subscription,W9114F-25-Q-A006,DEPT OF DEFENSE,DEPT OF THE ARMY,W40M MRCO EUROPE,36:47.5,Solicitation,01-04-25,,2024-12-20T16:00:00-05:00,513210,DE-RP,66849,DEU
Maintenance and Repair of Fire Control Center (USAG Bavaria),W912PB25R3007,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,04:58.5,Solicitation,02-07-25,,2025-01-23T12:00:00+01:00,561621,DE-BY,,DEU
Residential Welcome Kits,19BE1025Q5001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - ELSO ANTWERP,12:54.5,Combined Synopsis/Solicitation,1/25/2025,,2025-01-10T00:00:00-05:00,335210,BE-VAN,,BEL
"Cargo Transfer Services in Przemysl, Poland",19PL9025Q0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY WARSAW,10:46.6,Combined Synopsis/Solicitation,01-03-25,,2024-12-19T11:00:00-05:00,488991,PL-PK,,POL
"Custodial Services at Spangdahlem Air Base, Germany",FA560625Q0002,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5606  52 CONS DA LGC,29:52.2,Solicitation,1/28/2025,,2025-01-13T10:00:00+01:00,561720,DE-RP,D-54529,DEU
Lease Telecommunication Support for the United States Force Korea (USFK),W91QVN25R0015,DEPT OF DEFENSE,DEPT OF THE ARMY,0411 AQ HQ     CONTRACT AUG,57:13.2,Solicitation,1/31/2025,,2024-12-23T13:00:00+09:00,51711,,,KOR
Solicitation for U.S. Personal Services Contractor – Senior Regional Malaria Advisor,SOL-72048625R00001,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/THAILAND,57:08.1,Combined Synopsis/Solicitation,12/30/2024,,2024-12-15T23:59:00+07:00,812990,,,THA
"Hotel rooms and meals in Kuching, Malaysia",19MY3025Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY KUALA LUMPUR,55:19.6,Solicitation,1/16/2025,,2025-01-01T00:00:00-05:00,531120,MY-13,,MYS
Feed the Future Democratic Republic of the Congo Resilient Food Systems,72066025R00005,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/DEMOCRATIC REPUBLIC OF CONGO,24:43.0,Solicitation,1/29/2025,,2025-01-14T17:00:00-05:00,541690,CD-KN,,COD
Feed the Future Democratic Republic of the Congo Resilient Food Systems,72066025R00005,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/DEMOCRATIC REPUBLIC OF CONGO,19:35.1,Solicitation,1/29/2025,,2025-01-14T17:00:00-05:00,541690,CD-KN,,COD
Securing of Property Perimeter,19GE5025R0015,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - RPSO FRANKFURT,01:00.8,Presolicitation,1/14/2025,,2024-12-30T17:00:00+01:00,238990,,,BEL
PREVENTIVE MAINTENANCE OF CONSULAR SOUND SYSTEM,19RP3825Q0044,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,36:52.2,Presolicitation,11/30/2025,,,238210,,,PHL
HVAC WATER TREATMENT SERVICES FOR U.S. EMBASSY PHILIPPINES,19RP3825Q0016,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,34:39.0,Solicitation,11/30/2025,,2025-01-17T16:00:00+08:00,221310,,,PHL
"USS HOWARD (DDG-83) FY25 5C1 Bundle #1 (Yokosuka, Japan)",N6264925RA006,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,56:00.6,Solicitation,1/16/2025,,2025-01-16T10:00:00+09:00,336611,JP-14,,JPN
USS HOWARD (DDG-83) FY25 5C1 Bundle #1 SHIP REPAIR AND MAINTENANCE,N6264925RA006,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,49:19.3,Solicitation,1/16/2025,,2025-01-16T10:00:00+09:00,336611,JP-14,,JPN
"USS PREBLE (DDG-88) Surface Incremental Availability (SIA) (Yokosuka, JAPAN)",N6264925FA012,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,33:54.1,Solicitation,1/28/2025,,2025-01-13T10:00:00+09:00,336611,JP-14,96349,JPN
Supply and Delivery of Curtains and Drapes,19RP3825Q0015,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,21:04.6,Solicitation,6/24/2025,,2024-12-26T12:00:00+08:00,314120,,,PHL
Brand Name Acquisition - Dehumidifiers,PR15051704,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",US EMBASSY BANGKOK,12:09.2,Justification,01-03-25,,,,,,THA
Notice of Intent to Modify TO No.72044020F00002,,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,09:45.4,Special Notice,01-10-25,,2024-12-27T11:00:00+07:00,541990,VN-HN,,VNM
"Stanchion, Eye",N0040625Q0178,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR PUGET SOUND,36:52.1,Presolicitation,12/27/2024,SBA,2024-12-12T23:59:00-08:00,332510,,,JPN
"RFI Monitoring, Evaluation, Collaborating, Learning, and Adapting (MECLA) Activity",72049725RFI00003,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/INDONESIA,01:44.9,Sources Sought,1/22/2025,,2025-01-07T16:00:00+07:00,541990,ID-JK,,IDN
USAFE FIGHTER/LIGHT AIRCRAFT RECOVERY TRANSPORT,FA441925Q0014,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA4419   97 CONF  CC,14:23.1,Combined Synopsis/Solicitation,01-01-26,SBA,2025-12-17T11:00:00-06:00,336413,,9014,DEU
Gardening Service at the USG Residences in various addresses in Jakarta Area,191D3225R0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY JAKARTA,21:27.6,Solicitation,1/25/2025,,2025-01-10T12:00:00+07:00,81141,ID-JK,,IDN
Glass Door & Window Cleaning Services at Representatives Housing in Jakarta Area,191D3225R0006,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY JAKARTA,20:51.3,Solicitation,01-11-25,,2024-12-27T12:00:00+07:00,6239,ID-JK,,IDN
Feed the Future Democratic Republic of the Congo Resilient Food Systems,72066025R00005,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/DEMOCRATIC REPUBLIC OF CONGO,34:33.5,Solicitation,1/28/2024,,2024-01-13T17:00:00-05:00,541690,CD-KN,,COD
Industry Day - CENTAM MATOC - Construction & Repair Projects,W9127825R0010,DEPT OF DEFENSE,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT MOBILE,37:32.7,Special Notice,12/31/2024,,2024-12-03T17:00:00-05:00,236220,,,HND
"Regional Monitoring Center Remodeling, San Jose",19AQMM25R0005,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,43:44.1,Solicitation,1/25/2025,,2025-01-10T12:00:00-05:00,236220,,,CRI
PR14972385 - Venue for U.S. Embassy National Day Event,PR14972385,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S EMBASSY ABU DHABI,43:11.0,Solicitation,12/27/2024,,2024-12-27T10:00:00+04:00,72111,,,ARE
SAB Compound Painting,19GB5025Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LIBREVILLE,24:43.5,Presolicitation,12/25/2025,,2024-12-26T11:00:00+01:00,238320,GA-1,4000,GAB
SAB Sliding Gates Project,19GB5025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LIBREVILLE,20:21.9,Presolicitation,12/25/2025,,2024-12-26T23:00:00+01:00,238290,GA-1,4000,GAB
SAB CMPD Painting,19GB5025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LIBREVILLE,18:17.8,Presolicitation,12/25/2025,,2024-12-26T23:00:00+01:00,238290,GA-1,4000,GAB
INL_RFQ-PR15008893 GYM ELEMENTS FOR JUNGLAS,INL_RFQ-PR15008893,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,08:07.8,Combined Synopsis/Solicitation,01-11-25,,2024-12-27T16:00:00-05:00,339920,,,COL
"RFQ for Training Program Lodging Services in Riga, Latvia",19EN1025Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY TALLINN,43:29.4,Combined Synopsis/Solicitation,02-11-25,LAS,2025-01-27T05:00:00-05:00,721110,,,LVA
TUGCON VOYAGE CHARTER,N3220525R4008,DEPT OF DEFENSE,DEPT OF THE NAVY,MSC NORFOLK,36:00.0,Award Notice,12/27/2024,SBA,,483111,,,JPN
72066825R00006 Position for a USPSC/TCN Assistant General Service Specialist \\,72066825R00006,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/SOUTH SUDAN,07:10.8,Combined Synopsis/Solicitation,1/30/2025,,2025-01-15T13:00:00+07:00,812990,,,SSD
Installation Material,W564KV25R0005,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,04:24.3,Presolicitation,02-11-25,,2025-01-27T12:00:00-05:00,,,,DEU
Barriers Maintenance and Repair at USAG-Italy,W912PF25QA001,DEPT OF DEFENSE,DEPT OF THE ARMY,0414 AQ HQ     CONTRACT AUG,37:07.8,Solicitation,12/23/2025,,2024-12-23T14:00:00+01:00,811310,IT-34,9630,ITA
Feed the Future Democratic Republic of the Congo Resilient Food Systems,72066025R00005,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/DEMOCRATIC REPUBLIC OF CONGO,26:57.6,Solicitation,1/28/2024,,2024-01-13T17:00:00-05:00,541690,CD-KN,,COD
"Certified Strength and Conditioning Specialist, Aviano Air Base, Italy",FA568225Q8004,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5682  31 CONS DA LGC,07:21.5,Combined Synopsis/Solicitation,1/22/2025,,2025-01-07T15:00:00+01:00,621340,IT-PN,,ITA
Industry Day - CENTAM MATOC - Construction & Repair Projects,W9127825R0010,DEPT OF DEFENSE,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT MOBILE,03:03.1,Special Notice,12/31/2024,,2024-12-03T17:00:00-05:00,236220,,,HND
Industry Day - CENTAM MATOC - Construction & Repair Projects,W9127825R0010,DEPT OF DEFENSE,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT MOBILE,46:47.3,Special Notice,12/31/2024,,2024-12-03T17:00:00-05:00,236220,,,HND
Tourism Activity in Bosnia and Herzegovina (BiH),72016825RFI00001,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/BOSNIA/HERZ,14:20.7,Sources Sought,1/30/2025,,2024-12-30T15:00:00+01:00,541990,,,BIH
"De-Icing Material for Runway, Airfield, Roads, Sidewalks",W912CM25Q0001,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT =,58:12.1,Combined Synopsis/Solicitation,01-03-25,LAS,2024-12-19T15:00:00+01:00,325998,DE-HE,65187,DEU
"Custodial Services at Spangdahlem Air Base, Germany",FA560625Q0002,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5606  52 CONS DA LGC,38:43.1,Solicitation,1/28/2025,,2025-01-13T10:00:00+01:00,561720,DE-RP,D-54529,DEU
Water Treatment Maintenance Services,191T7025R0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ROME,24:42.2,Solicitation,10/20/2025,,2024-12-23T12:00:00+01:00,221310,,,ITA
Fuel(s) for Residences,19CY6025Q0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY NICOSIA,15:28.3,Combined Synopsis/Solicitation,1/31/2025,,2025-01-16T00:00:00+02:00,457210,,,CYP
"Health Insurance for Locally Employed Staff for the U.S. Embassy Port Louis, Mauritius",19MP1025-R-0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PORT LOUIS,15:20.7,Presolicitation,12/31/2024,,2024-12-30T16:30:00-05:00,524114,MU-PL,,MUS
Invasive Species Control Services,FA527025R0006,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5270  18 CONS PK,24:33.2,Sources Sought,01-04-25,,2024-12-20T13:30:00+09:00,541620,JP-47,,JPN
Improve Military Family Housing Projects (PAIP) 8B,W912HV25B0001,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SN ENDIST JAPAN,18:30.6,Presolicitation,1/14/2025,,2024-12-30T14:00:00+09:00,236118,JP-13,,JPN
72011925RFI00001 – Risk Communication and Community Engagement in Global Health Security,7.20E+12,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/TAJIKISTAN,53:09.5,Presolicitation,1/25/2025,,2025-01-10T00:00:00+05:00,62,,734000,TJK
Local Drayage Services (Schedule III),FA527025R0003,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5270  18 CONS PK,52:42.0,Sources Sought,01-08-25,,2024-12-24T11:00:00+09:00,484110,JP-47,,JPN
"374th Communications Squadron (374 CS) Project Management Support at Yokota AB, Japan",FA520925Q0006,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5209  374 CONS PK,23:51.3,Combined Synopsis/Solicitation,1/31/2025,,2025-01-16T14:00:00+09:00,541519,,,JPN
GMC Health Insurance,19TH2025R0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",US EMBASSY BANGKOK,01:28.5,Solicitation,12/31/2025,,2025-01-21T16:00:00+07:00,524114,,,THA
"Removal and Disposal of Medical Material for the US Army Medical Material Center, Korea (USAMMC-K), Camp Carroll",W81K0225PA001,DEPT OF DEFENSE,DEPT OF THE ARMY,W40M MRCO PACIFIC,58:02.9,Award Notice,01-01-25,,,562211,,,KOR
Hoot Suite Social Media Software,M67400-25-Q-0002,DEPT OF DEFENSE,DEPT OF THE NAVY,COMMANDING OFFICER,15:27.6,Solicitation,12/31/2024,,2024-12-16T16:00:00+09:00,516210,JP-47,,JPN
RADIOGRAPHIC INSPECTION,N0040625Q0172,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR PUGET SOUND,22:27.3,Solicitation,01-01-25,,2024-12-17T12:00:00-08:00,336611,,,JPN
Seed Increase for Tropical Soybean Germplasm Accessions - Award,12505B25P0013,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL RESEARCH SERVICE,USDA ARS MWA AAO ACQ/PER PROP,34:26.1,Award Notice,12/26/2024,,,111110,,,CRI
Calibration of Attenuator,N68520-24-SIMACQ-KN00000-0267,DEPT OF DEFENSE,DEPT OF THE NAVY,FLEET READINESS CENTER,16:28.6,Solicitation,01-04-25,SBA,2024-12-20T15:00:00-05:00,811210,GB-ENG,,GBR
"US Mission Kampala, Uganda",19AQMM24R0163,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,10:11.8,Solicitation,01-04-25,,2024-12-20T13:00:00-05:00,561612,,,UGA
INL-RFQ_ PR15025630_ Construction Materials CENOP- Colombia,PR15025630,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,35:22.0,Combined Synopsis/Solicitation,1/20/2025,,2025-01-20T16:00:00-05:00,423320,CO-DC,,COL
INL-RFQ_ PR15013499_ Elements for K9 Units Bogota - Colombia,PR15013499,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,34:48.6,Combined Synopsis/Solicitation,12/30/2024,,2024-12-30T16:00:00-05:00,812910,CO-DC,,COL
INL-RFQ_ PR15004123_ Canine Elements Bogota - Colombia,PR15004123,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,34:07.2,Combined Synopsis/Solicitation,12/30/2024,,2024-12-30T16:00:00-05:00,812910,CO-DC,,COL
INL-RFQ_ PR15006630_ Power Plant Bogota- Colombia,PR15006630,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,33:36.5,Combined Synopsis/Solicitation,12/30/2024,,2024-12-30T16:00:00-05:00,335311,CO-DC,,COL
INL-RFQ_ PR14977740_ Technical Equipment Popayan - Colombia,PR14977740,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,32:49.9,Combined Synopsis/Solicitation,12/30/2024,,2024-12-30T16:00:00-05:00,517111,CO-DC,,COL
INL Guatemala: IT Equipment- Servers,191NLE25Q0021,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - INL,10:06.4,Combined Synopsis/Solicitation,01-04-25,SBA,2024-12-20T09:00:00-05:00,541519,,,GTM
INL Kingston Open-Source Intelligence (OSINT) Software,191NLE25Q0023,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - INL,09:06.5,Combined Synopsis/Solicitation,01-07-25,SBA,2024-12-23T09:00:00-05:00,513210,,,JAM
INL Kingston: Intelligence and Investigative Analytical Software for MOCA,191NLE25Q0013,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - INL,07:43.5,Combined Synopsis/Solicitation,01-02-25,,2024-12-18T09:00:00-05:00,513210,,,JAM
Solicitation SPE60525R0205 Caribbean (1.8H) PC&S,SPE60525R0205,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,00:15.1,Combined Synopsis/Solicitation,1/25/2025,,2025-01-10T12:00:00-05:00,324110,BS-WG,,BHS
Country Program Coordinator for Cape Verde,20341925R00001,"TREASURY, DEPARTMENT OF THE",BUREAU OF THE FISCAL SERVICE,ARC DIV PROC SVCS - ADF,19:33.1,Solicitation,02-01-25,,2025-01-17T14:00:00-05:00,541511,CV-PR,,CPV
Purchase of 57 Color Printers,SP7000-25-Q-1009,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DCSO-P NEW CUMBERLAND,08:09.5,Combined Synopsis/Solicitation,1/25/2025,,2025-01-10T10:00:00-05:00,334118,,,KOR
INFOSEC INSTITUTE Boot Camp Courses,W91RUS25R0003,DEPT OF DEFENSE,DEPT OF THE ARMY,W6QK ACC-APG CONT CT SW SECTOR,08:42.6,Combined Synopsis/Solicitation,12/24/2024,,2024-12-19T08:00:00-07:00,611420,,,KWT
Republic of Italy - Laboratory Testing Services,SPE60324R0511,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,20:40.3,Solicitation,10/28/2025,,2024-10-28T11:00:00-04:00,541380,,,ITA
55” OLED evo C-Series Displays for U.S. Consulate General Merida,19MX5225Q0005,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE MERIDA,18:28.1,Solicitation,12/27/2024,,2024-12-27T17:00:00-06:00,423620,MX-YUC,97050,MEX
Forklift for U.S. Consulate General Merida,19MX5225Q0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE MERIDA,37:58.7,Solicitation,12/27/2024,,2024-12-27T17:00:00-06:00,333924,MX-YUC,97050,MEX
DOJ OPDAT Proactive Adjudication Program January 2025,19HR9025Q0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ZAGREB,24:32.7,Presolicitation,1/22/2025,,2025-01-07T00:00:00+01:00,72111,HR-21,10000,HRV
19WA8025Q0014 - Transportation services. Pre-solicitation,PR1399160A,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY WINDHOEK,04:56.9,Presolicitation,12/31/2024,,2024-12-16T17:00:00+01:00,48531,,,NAM
"Sources Sought Announcement for Design-Bid-Build (DBB) Construction of KAF F-18 Super Hornet Program, Procurement E",W912ER25R0010,DEPT OF DEFENSE,DEPT OF THE ARMY,W31R ENDIS MIDDLE EAST,36:44.5,Sources Sought,1/14/2025,,2024-12-30T16:00:00-05:00,236220,KW-JA,,KWT
"Food Service Equipment for Camp Casey, South Korea",SPE3SE25Q0191,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DIR OF SUB  DLA TROOP SUPPORT,35:08.5,Sources Sought,01-07-25,SBA,2024-12-23T23:59:00-05:00,333310,,96224,KOR
Fire Extinguishers Maintenance Service,N6817125Q0001,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLC SIGONELLA NAPLES OFFICE,08:31.8,Presolicitation,12/26/2024,,2024-12-11T15:15:00+01:00,811310,,,ITA
EUR/ATHENS - Payroll Processing Services,19GR1025Q0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,46:30.6,Solicitation,12/31/2024,,2024-12-18T13:00:00+02:00,541219,GR-I,10160,GRC
"Legal services for the acquisition of a residence in Thessaloniki, Greece.",19GR1025Q0013,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,46:02.4,Solicitation,01-07-25,,2024-12-23T00:00:00+02:00,541110,GR-I,101 60,GRC
Infrastructure Roads and Transport Sector Consulting Services in Nepal,95332425Q0005,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,32:09.8,Presolicitation,02-08-25,,2025-01-24T10:00:00-05:00,541611,,,NPL
Infrastructure Roads and Transport Sector Consulting Services in Nepal,95332425Q0005,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,30:03.3,Combined Synopsis/Solicitation,02-08-25,,2025-01-24T10:00:00-05:00,541611,,,NPL
Playgrounds and Climbing structures inspections USAG Bavaria,W912PB25R3008,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,01:00.4,Solicitation,1/14/2025,,2024-12-30T11:00:00+01:00,541350,DE-BY,92676,DEU
"Purchase of one official - VAN 7+1 Pax, Diesel, Automatic Transmission",19P05025Q0007,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LISBON,50:08.8,Combined Synopsis/Solicitation,12/27/2024,,2024-12-27T17:00:00+00:00,441110,PT-11,,PRT
